"Site","Treatment","Microsite","Depth","Plot","N","mean_C","mean_N"
"Ponderosa Pine Meadow","Ambient","IC","0.5","P2",1,3.191465056,0.236171382
"Ponderosa Pine Meadow","Ambient","IC","0.5","P5",1,2.8182643,0.230315436
"Ponderosa Pine Meadow","Ambient","IC","0.5","P6",1,2.014242518,0.138434923
"Ponderosa Pine Meadow","Ambient","IC","5.10","P11",2,2.068316254,0.1763005905
"Ponderosa Pine Meadow","Ambient","IC","5.10","P2",1,2.691375638,0.193348915
"Ponderosa Pine Meadow","Ambient","IC","5.10","P5",1,2.466153394,0.18112986
"Ponderosa Pine Meadow","Ambient","IC","5.10","P6",1,1.504513402,0.123202238
"Ponderosa Pine Meadow","Addition","CAN","0.5","P12",1,2.768902508,0.206270434
"Ponderosa Pine Meadow","Addition","CAN","0.5","P3",1,2.893464885,0.21811893
"Ponderosa Pine Meadow","Addition","CAN","0.5","P8",1,2.838307935,0.220016779
"Ponderosa Pine Meadow","Addition","CAN","0.5","P9",1,2.556952278,0.183571543
"Ponderosa Pine Meadow","Addition","CAN","5.10","P12",1,2.999266408,0.244255034
"Ponderosa Pine Meadow","Addition","CAN","5.10","P3",1,2.546564268,0.183440145
"Ponderosa Pine Meadow","Addition","CAN","5.10","P8",1,2.268804593,0.169646077
"Ponderosa Pine Meadow","Addition","CAN","5.10","P9",1,2.224480801,0.170370618
"Ponderosa Pine Meadow","Addition","IC","0.5","P12",1,2.249032316,0.161891673
"Ponderosa Pine Meadow","Addition","IC","0.5","P3",1,2.008123243,0.214043077
"Ponderosa Pine Meadow","Addition","IC","0.5","P9",1,2.163009113,0.166851908
"Ponderosa Pine Meadow","Addition","IC","5.10","P12",1,2.265145777,0.178133556
"Ponderosa Pine Meadow","Addition","IC","5.10","P3",1,2.654047528,0.191589316
"Ponderosa Pine Meadow","Addition","IC","5.10","P8",1,2.060795012,0.145513885
"Ponderosa Pine Meadow","Addition","IC","5.10","P9",1,2.001208782,0.154529177
"Mixed Conifer Meadow","Exclusion","CAN","0.5","P10",2,5.4175276715,0.4069716685
"Mixed Conifer Meadow","Exclusion","CAN","0.5","P2",1,4.67942826,0.37878868
"Mixed Conifer Meadow","Exclusion","CAN","0.5","P8",2,4.3173310535,0.318901392
"Mixed Conifer Meadow","Exclusion","CAN","5.10","P10",1,4.554537849,0.335990479
"Mixed Conifer Meadow","Exclusion","CAN","5.10","P2",1,4.589767566,0.34066037
"Mixed Conifer Meadow","Exclusion","CAN","5.10","P5",1,4.524481963,0.32408725
"Mixed Conifer Meadow","Exclusion","CAN","5.10","P8",1,3.751886962,0.28041247
"Mixed Conifer Meadow","Exclusion","IC","0.5","P10",1,5.425960548,0.407812748
"Mixed Conifer Meadow","Exclusion","IC","0.5","P2",1,4.138528622,0.318736683
"Mixed Conifer Meadow","Exclusion","IC","0.5","P8",1,4.705347382,0.367539568
"Mixed Conifer Meadow","Exclusion","IC","5.10","P10",1,4.577533463,0.347933132
"Mixed Conifer Meadow","Exclusion","IC","5.10","P2",1,4.863502335,0.389672459
"Mixed Conifer Meadow","Exclusion","IC","5.10","P5",1,3.999999469,0.301921663
"Mixed Conifer Meadow","Exclusion","IC","5.10","P8",1,4.316833196,0.334652437
"Mixed Conifer Meadow","Ambient","CAN","0.5","P12",1,5.354646547,0.433355715
"Mixed Conifer Meadow","Ambient","CAN","0.5","P3",2,4.989655722,0.37749793
"Mixed Conifer Meadow","Ambient","CAN","0.5","P7",2,4.748820952,0.344879188
"Mixed Conifer Meadow","Ambient","CAN","5.10","P1",1,4.941638418,0.34919796
"Mixed Conifer Meadow","Ambient","CAN","5.10","P12",1,4.635286585,0.345435651
"Mixed Conifer Meadow","Ambient","CAN","5.10","P3",1,2.5696,0.243
"Mixed Conifer Meadow","Ambient","CAN","5.10","P7",1,4.346438018,0.307858738
"Mixed Conifer Meadow","Ambient","IC","0.5","P1",1,5.618992515,0.427168614
"Mixed Conifer Meadow","Ambient","IC","0.5","P12",1,4.542097812,0.342188839
"Mixed Conifer Meadow","Ambient","IC","0.5","P3",1,5.345874209,0.393927811
"Mixed Conifer Meadow","Ambient","IC","5.10","P3",1,4.434686094,0.312205661
"Mixed Conifer Meadow","Ambient","IC","5.10","P7",1,3.8009471,0.276271098
"Mixed Conifer Meadow","Addition","CAN","0.5","P11",1,4.960470097,0.37564094
"Mixed Conifer Meadow","Addition","CAN","0.5","P4",1,5.496050551,0.397405349
"Mixed Conifer Meadow","Addition","CAN","0.5","P6",2,5.5384162965,0.4307785775
"Mixed Conifer Meadow","Addition","CAN","0.5","P9",1,4.749900685,0.368530775
"Mixed Conifer Meadow","Addition","CAN","5.10","P11",1,4.620190092,0.357726619
"Mixed Conifer Meadow","Addition","CAN","5.10","P4",1,4.444216666,0.308824721
"Mixed Conifer Meadow","Addition","CAN","5.10","P6",1,6.034456371,0.442584435
"Mixed Conifer Meadow","Addition","CAN","5.10","P9",1,4.364065671,0.332228183
"Mixed Conifer Meadow","Addition","IC","0.5","P11",1,5.359284744,0.384786571
"Mixed Conifer Meadow","Addition","IC","0.5","P6",1,5.163524205,0.394896882
"Mixed Conifer Meadow","Addition","IC","0.5","P9",1,5.050458117,0.340702155
"Mixed Conifer Meadow","Addition","IC","5.10","P11",1,4.777177378,0.342561151
"Mixed Conifer Meadow","Addition","IC","5.10","P4",1,3.88559001,0.318010067
"Mixed Conifer Meadow","Addition","IC","5.10","P6",1,4.203093486,0.316313145
"Mixed Conifer Meadow","Addition","IC","5.10","P9",1,4.190464386,0.301676448
