"Site","Treatment","Microsite","Depth","Plot","N","extractable.MBC","MBC"
"Mixed Conifer Meadow","Ambient","Canopy","upper","11",1,143.1351814,318.078181
"Mixed Conifer Meadow","Addition","Intercanopy","lower","1",1,102.7375419,228.3056486
"Mixed Conifer Meadow","Addition","Intercanopy","lower","3",3,217.304517366667,482.898927533333
"Mixed Conifer Meadow","Addition","Intercanopy","lower","7",3,146.2525999,325.005777466667
"Mixed Conifer Meadow","Addition","Intercanopy","lower","12",1,166.3798722,369.7330494
"Mixed Conifer Meadow","Addition","Intercanopy","upper","1",1,159.5657395,354.5905323
"Mixed Conifer Meadow","Addition","Intercanopy","upper","3",3,264.9303284,588.734063066667
"Mixed Conifer Meadow","Addition","Intercanopy","upper","7",1,163.9783778,364.396395
"Mixed Conifer Meadow","Addition","Intercanopy","upper","12",1,112.4684469,249.9298821
"Mixed Conifer Meadow","Addition","Canopy","lower","1",1,38.00412613,84.45361363
"Mixed Conifer Meadow","Addition","Canopy","lower","3",1,130.7651076,290.5891279
"Mixed Conifer Meadow","Addition","Canopy","lower","7",1,123.3352561,274.0783469
"Mixed Conifer Meadow","Addition","Canopy","lower","12",1,144.9008151,322.0018112
"Mixed Conifer Meadow","Addition","Canopy","upper","1",1,214.2842031,476.187118
"Mixed Conifer Meadow","Addition","Canopy","upper","3",3,265.436647433333,589.859216533333
"Mixed Conifer Meadow","Addition","Canopy","upper","7",3,733.3646568,1629.69923733333
"Mixed Conifer Meadow","Addition","Canopy","upper","12",1,194.1827352,431.5171893
