site,date,Treatment,N,SWP,sd_SWP,se_SWP,VWC,sd_VWC,se_VWC
BlueChute,180826,Add,3,-3.019127002315971,4.126692452973809,2.382546998587226,0.2254722222222222,0.06348753614191031,0.03665454608171802
BlueChute,180826,Ctrl,3,-5.171988922491797,6.3191478713814915,3.648361724591155,0.19111111111111112,0.02736194302175789,0.01579742516916312
BlueChute,180826,Exl,3,-1.2281528976754126,0.4627420723758134,0.26716426005154115,0.21408333333333335,0.011490334102095457,0.0066339474869235495
BlueChute,180827,Add,3,-3.3431587954674242,4.609173200770077,2.6611073882062133,0.21969444444444444,0.056721088042311955,0.03274793544995727
BlueChute,180827,Ctrl,3,-5.486612588953284,6.243629165106264,3.6047609791943,0.18783333333333332,0.024344567897399836,0.014055342828868918
BlueChute,180827,Exl,3,-1.4305114516868487,0.5282726969091163,0.30499838376600785,0.21025,0.010745477084698371,0.00620390408742156
BlueChute,180828,Add,3,-4.004103688259859,5.3540910730613795,3.09118592229776,0.20933333333333334,0.04776048823149853,0.027574530737083634
BlueChute,180828,Ctrl,3,-5.7210273692129725,5.786843980939978,3.3410359301540624,0.184125,0.021539732343844122,0.012435970266990894
BlueChute,180828,Exl,3,-1.6847328626501958,0.6249682248444781,0.360825572848922,0.20590277777777777,0.01038497958235479,0.005995770757401306
BlueChute,180829,Add,3,-5.151606050497096,6.58703547711398,3.8030267058733713,0.2001388888888889,0.043093775598923446,0.02488020294243578
BlueChute,180829,Ctrl,3,-6.783573496331645,6.683071072703093,3.858472882838532,0.18019444444444443,0.021049970858605684,0.01215320634164977
BlueChute,180829,Exl,3,-2.0202591944292223,0.784480962924311,0.4529202951184878,0.20159722222222223,0.010184098216409814,0.005879791846697794
BlueChute,180830,Add,3,-6.6105849429830705,8.073206593441128,4.661067999946697,0.1920138888888889,0.03962568640601887,0.02287790071333869
BlueChute,180830,Ctrl,3,-7.528348440118917,7.149782158401164,4.127928653800096,0.17768055555555554,0.020722050006731517,0.011963881149547329
BlueChute,180830,Exl,3,-2.253091144834894,0.9168482421213225,0.5293425793947808,0.19909722222222223,0.010166182820909137,0.005869448388282839
BlueChute,180831,Add,3,-5.304163866778618,6.413066416823337,3.7025856220839026,0.21455555555555555,0.04461074572632988,0.025756026053846505
BlueChute,180831,Ctrl,3,-8.343253789743422,7.802981127482457,4.505053254433567,0.17506944444444444,0.020256914685918788,0.011695335146866496
BlueChute,180831,Exl,3,-2.624964239872631,1.1798754886045946,0.681201430956104,0.1953888888888889,0.010629601400143194,0.006137003229751096
BlueChute,180901,Add,3,-1.7647290910312836,2.3609370825575304,1.36308766015436,0.23351388888888888,0.05559214593640736,0.03209614042121375
BlueChute,180901,Ctrl,3,-11.27190766954517,11.051763515609048,6.380738640756969,0.16948611111111112,0.02056073039216407,0.011870743226651248
BlueChute,180901,Exl,3,-3.472990204416494,1.7396789940338924,1.0044041355090052,0.189,0.010903538543875468,0.006295160913425962
BlueChute,180902,Add,3,-2.315161437165743,3.031803726279429,1.750412697497539,0.22645833333333332,0.05705931672391459,0.032943211870328205
BlueChute,180902,Ctrl,3,-15.697296992314774,15.912250529624588,9.186942126691521,0.1632638888888889,0.020773302399777288,0.011993471732468917
BlueChute,180902,Exl,3,-4.875092708279387,2.5045989246566616,1.446030863362571,0.18119444444444444,0.010523810084931381,0.006075924585435631
BlueChute,180903,Add,3,-2.691365735773507,3.493961468467484,2.017239594357882,0.21984722222222222,0.05123004918809679,0.02957768268934545
BlueChute,180903,Ctrl,3,-16.047580566853657,15.126206091646528,8.733119158829881,0.16230555555555556,0.01881951619502517,0.010865452741216305
BlueChute,180903,Exl,3,-5.205251265668954,2.50957545046008,1.4489040618748035,0.18013888888888888,0.009604354963205974,0.005545076923399688
BlueChute,180904,Add,3,-3.33748201429255,4.178928047038046,2.412705232881493,0.20973611111111112,0.04394184788297336,0.02536983770392426
