Date/time,Sample,Details,soilmass_g,BulkDensity,soil_pctC,temperature,CO2(ppmv)
2/13/19 16:01,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,7435.9
2/13/19 16:03,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,3818.5
2/13/19 16:04,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,5263.6
2/13/19 16:05,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,5144.9
2/13/19 16:06,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,5234.2
2/13/19 16:08,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,5241.9
2/13/19 16:10,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,4999
2/13/19 16:11,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,4021.6
2/13/19 16:12,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,7687.8
2/13/19 16:14,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,9427.7
2/13/19 16:15,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,5748.3
2/15/19 15:53,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,1940.6
2/15/19 15:54,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,5741.6
2/15/19 15:55,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,4294.6
2/15/19 15:56,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,6528.7
2/15/19 15:58,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,8594.6
2/15/19 15:59,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,4011.9
2/15/19 16:00,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,6326.6
2/15/19 16:01,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,5954.6
2/15/19 16:03,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,6325.7
2/15/19 16:04,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,8164
2/15/19 16:05,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,10460.3
2/15/19 16:06,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,5600.9
2/15/19 16:09,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,13019.5
2/15/19 16:12,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,15132.8
2/15/19 16:15,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,13686.2
2/18/19 10:48,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,1976.3
2/18/19 10:49,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,4622.6
2/18/19 10:51,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,6428.3
2/18/19 10:51,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,5222.4
2/18/19 10:52,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,8646.3
2/18/19 10:54,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,3471.4
2/18/19 10:55,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,6593
2/18/19 11:04,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,6461.3
2/18/19 11:05,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,8484.6
2/18/19 11:06,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,9594.1
2/18/19 11:08,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,9425.9
2/18/19 11:10,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,3325.4
2/18/19 11:11,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,7221.8
2/18/19 11:13,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,14300.4
2/18/19 11:14,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,17924.8
2/20/19 10:29,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,2066.1
2/20/19 10:30,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,6009.6
2/20/19 10:31,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,3326.6
2/20/19 10:32,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,4438.3
2/20/19 10:33,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,6929.9
2/20/19 12:14,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,3303.4
2/20/19 12:15,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,6184.1
2/20/19 12:16,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,6584
2/20/19 12:17,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,6887.2
2/20/19 12:23,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,5950.6
2/20/19 12:23,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,6591.4
2/20/19 12:25,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,3465.7
2/20/19 12:29,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,7896.6
2/20/19 12:30,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,12212.8
2/20/19 12:31,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,16668
2/22/19 13:32,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,2079.7
2/22/19 13:34,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,3936.5
2/22/19 13:35,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,5076.8
2/22/19 13:37,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,6317.8
2/22/19 13:39,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,7228.5
2/22/19 13:40,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,3396.2
2/22/19 13:41,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,6693.6
2/22/19 13:43,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,6872.3
2/22/19 13:44,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,8672.2
2/22/19 13:46,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,5970.5
2/22/19 13:48,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,5950.7
2/22/19 13:49,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,3567.3
2/22/19 13:53,CCAddP9Can0-5,25,42.88,4.771077394,4.749900685,25,7274.7
2/22/19 13:54,CCCtrlP1Can0-5,26,40.03,4.470552745,4.966319979,25,11315.4
2/22/19 13:54,CCExlP10Can0-5,27,50.07,3.509211998,5.70038402,25,13844.4
2/25/19 10:01,BPAddP9Can0-5,13,50,8.192851423,0.708275213,25,1890.6
2/25/19 10:02,BPCtrlP8Can0-5,14,50.03,8.662618587,0.990866889,25,6691.3
2/25/19 10:03,BPExlP4Can0-5,15,50.02,7.848225793,0.847646431,25,3373.9
2/25/19 10:04,ANTAddP1Can0-5,16,49.99,7.094695146,1.342524322,25,5209.7
2/25/19 10:05,ANTCtrlP3Can0-5,17,50.01,5.469512315,1.543886943,25,8982.6
2/25/19 10:06,ANTExlP4Can0-5,18,50.01,5.608937181,0.981022986,25,3244.4
2/25/19 10:07,BCAddP1Can0-5,19,50.02,4.171439756,2.970732511,25,6147.1
2/25/19 10:08,BCCtrlP7Can0-5,20,49.99,6.311645241,2.19521197,25,7277.9
2/25/19 10:09,BCExlP12Can0-5,21,49.98,4.683814244,3.519802433,25,5144.6
2/25/19 10:10,ARBAddP12Can0-5,22,50.01,4.956219479,2.768902508,25,6890.9
2/25/19 10:11,ARBCtrlP11Can0-5,23,50.01,5.145876247,1.963747473,25,7206.6
2/25/19 10:12,ARBExlP4Can0-5,24,49.95,6.419871718,2.750961865,25,3652.1
