Site,Trt,Canopy,Depth,Plot,run_date,PctN,PctC
BlueChute,Ctrl,IC,0-5,7,190402,0.177740847,2.972987529
BlueChute,Ctrl,IC,0-5,5,190402,0.163540898,3.131220183
BlueChute,Ctrl,IC,0-5,2,190426,0.241342282,2.474617388
BlueChute,Ctrl,IC,0-5,3,190627,0.254938449,2.693787365
BlueChute,Ctrl,IC,10-May,7,190131,0.190504541,3.460443547
BlueChute,Ctrl,IC,10-May,5,190201,0.180016783,2.179653045
BlueChute,Ctrl,IC,10-May,3,190227,0.228151981,3.305200608
BlueChute,Ctrl,IC,10-May,7,190402,0.191457803,3.821480092
BlueChute,Ctrl,IC,10-May,2,190426,0.238637584,2.402225221
Arboretum,Add,Can,0-5,12,190131,0.206270434,2.768902508
Arboretum,Add,Can,0-5,3,190402,0.21811893,2.893464885
Arboretum,Add,Can,0-5,8,190426,0.220016779,2.838307935
Arboretum,Add,Can,0-5,9,190627,0.183571543,2.556952278
Arboretum,Add,Can,10-May,3,190402,0.183440145,2.546564268
Arboretum,Add,Can,10-May,12,190426,0.244255034,2.999266408
Arboretum,Add,Can,10-May,8,190709,0.169646077,2.268804593
Arboretum,Add,Can,10-May,9,190709,0.170370618,2.224480801
Arboretum,Add,IC,0-5,3,190201,0.214043077,2.008123243
Arboretum,Add,IC,0-5,12,190227,0.161891673,2.249032316
Arboretum,Add,IC,0-5,9,190820,0.166851908,2.163009113
Arboretum,Add,IC,10-May,8,190422,0.145513885,2.060795012
Arboretum,Add,IC,10-May,9,190627,0.154529177,2.001208782
Arboretum,Add,IC,10-May,12,190709,0.178133556,2.265145777
Arboretum,Add,IC,10-May,3,190709,0.191589316,2.654047528
Arboretum,Exl,Can,0-5,4,190131,0.185624622,2.750961865
Arboretum,Exl,Can,0-5,7,190227,0.214318513,2.948820289
Arboretum,Exl,Can,0-5,10,190426,0.214607383,2.789975877
Arboretum,Exl,Can,0-5,1,190627,0.266634692,3.765443398
Arboretum,Exl,Can,10-May,7,190402,0.17136536,2.430107163
Arboretum,Exl,Can,10-May,4,190402,0.163347702,2.273246985
Arboretum,Exl,Can,10-May,1,190627,0.219453237,2.998302797
Arboretum,Exl,Can,10-May,10,190627,0.154628297,2.091709256
Arboretum,Exl,IC,0-5,4,190131,0.179900101,3.062555346
Arboretum,Exl,IC,0-5,10,190131,0.159911201,2.319237117
Arboretum,Exl,IC,0-5,1,190201,0.23370965,2.083135156
Arboretum,Exl,IC,0-5,7,190820,0.151779373,1.8554528
Arboretum,Exl,IC,10-May,7,190313,0.143440678,2.093664427
Arboretum,Exl,IC,10-May,1,190627,0.181192646,2.543061247
Arboretum,Exl,IC,10-May,10,190627,0.149870504,2.002516293
Arboretum,Exl,IC,10-May,4,190709,0.206080134,2.776619846
Arboretum,Ctrl,Can,0-5,11,190201,0.209360559,1.963747473
Arboretum,Ctrl,Can,0-5,6,190422,0.17729278,2.414045036
Arboretum,Ctrl,Can,0-5,2,190820,0.271621836,3.657894291
Arboretum,Ctrl,Can,0-5,5,190820,0.232095958,3.176974668
Arboretum,Ctrl,Can,10-May,2,190201,0.191046713,1.913184923
Arboretum,Ctrl,Can,10-May,5,190422,0.182999207,2.467720011
Arboretum,Ctrl,Can,10-May,6,190627,0.141247002,1.960780653
Arboretum,Ctrl,Can,10-May,11,190709,0.174614357,2.388593861
Arboretum,Ctrl,IC,0-5,6,190227,0.138434923,2.014242518
Arboretum,Ctrl,IC,0-5,2,190227,0.236171382,3.191465056
Arboretum,Ctrl,IC,0-5,5,190426,0.230315436,2.8182643
Arboretum,Ctrl,IC,10-May,6,190201,0.123202238,1.504513402
Arboretum,Ctrl,IC,10-May,11,190201,0.187612867,1.888066673
Arboretum,Ctrl,IC,10-May,5,190422,0.18112986,2.466153394
Arboretum,Ctrl,IC,10-May,11,190709,0.164988314,2.248565835
Arboretum,Ctrl,IC,10-May,2,190709,0.193348915,2.691375638
CampColton,Add,Can,0-5,4,190402,0.397405349,5.496050551
CampColton,Add,Can,0-5,11,190426,0.37564094,4.960470097
CampColton,Add,Can,0-5,9,190627,0.368530775,4.749900685
