Site,Treatment,Plot,Microsite,Depth,Initial mass (g),mass after sieving (g) ,mass of roots (g),mass of dry roots (g)
CC,Add,11,IC,upper,189.6,127.6,0.8,0.6109
CC,Add,11,IC,lower,186.5,157,1,0.8785
CC,Exl,2,Can,upper,173.3,129.1,0.1,0.1397
CC,Exl,2,Can,lower,201.3,147.5,0.8,0.6993
CC,Exl,2,IC,upper,167.9,124.5,0.3,0.2053
CC,Exl,2,IC,lower,205.8,168.8,0.5,0.4516
CC,Exl,5,Can,upper,,,,
CC,Exl,5,Can,lower,267.7,208.9,2.7,2.0548
CC,Exl,5,IC,upper,162.6,112.5,0.4,0.4228
CC,Exl,5,IC,lower,160.9,102.6,0.5,0.5363
CC,Exl,8,Can,upper,143.5,104.5,0.2,0.2996
CC,Exl,8,Can,lower,209.2,151.6,0.8,
CC,Exl,8,IC,upper,193.9,121.4,1,0.9388
CC,Exl,8,IC,lower,222.7,166.1,0.2,0.1882
CC,Exl,10,Can,upper,189.3,154.2,3,2.6586
CC,Exl,10,Can,lower,215.9,142.3,0.7,0.6122
CC,Exl,10,IC,upper,134.4,102.9,0.4,0.4606
CC,Exl,10,IC,lower,202.9,137.9,0.7,0.6992
CC,Ctrl,1,Can,upper,128.7,88.1,0.7,0.8034
CC,Ctrl,1,Can,lower,188.7,147.7,0.5,0.5102
CC,Ctrl,1,IC,upper,160.2,110.9,0.3,0.3859
CC,Ctrl,1,IC,lower,257.3,204,0.4,0.4447
CC,Ctrl,3,Can,upper,152.5,115.1,4.2,3.156
CC,Ctrl,3,Can,lower,159,123.1,0.9,0.8422
CC,Ctrl,3,IC,upper,175.6,128,2.2,1.8802
CC,Ctrl,3,IC,lower,288.5,223.2,3,1.6078
CC,Ctrl,7,Can,upper,203.6,138.7,1.7,1.2761
CC,Ctrl,7,Can,lower,179.8,131.5,1.6,1.5691
CC,Ctrl,7,IC,upper,151.4,112.6,0.4,0.4002
CC,Ctrl,7,IC,lower,304.7,209.8,2.2,1.7378
CC,Ctrl,12,Can,upper,182.2,139.7,0.6,0.6591
CC,Ctrl,12,Can,lower,165.8,93.2,0.2,0.2776
CC,Ctrl,12,IC,upper,209.2,169.5,0.6,0.6122
CC,Ctrl,12,IC,lower,137.8,92.1,0.2,0.1879
